question,item,Expectations as weighted averages,Expectations of functions,Definition of variance,Properties of expectation,Expectations of famous distributions,Conditional expectation,Properties of Variance,Total variance
1,1,1,1,1,0,0,0,0,0
1,2,1,1,1,0,0,0,0,0
1,3,1,1,1,0,0,0,0,0
1,4,1,1,1,0,0,0,0,0
1,5,1,1,1,0,0,0,0,0
2,6,0,0,0,1,0,0,0,0
2,7,0,0,0,1,0,0,0,0
2,8,0,0,0,1,0,0,0,0
2,9,0,0,0,1,0,0,0,0
2,10,0,0,0,1,0,0,0,0
2,11,0,0,0,1,0,0,0,0
2,12,0,0,0,1,0,0,0,0
2,13,0,0,0,1,0,0,0,0
2,14,0,0,0,1,0,0,0,0
3,15,0,0,0,0,1,0,0,0
3,16,0,0,0,0,1,0,0,0
3,17,0,0,0,0,1,0,0,0
3,18,0,0,0,0,1,0,0,0
3,19,0,0,0,0,1,0,0,0
3,20,0,0,0,0,1,0,0,0
4,21,0,0,0,0,1,1,0,0
4,22,0,0,0,0,1,1,0,0
4,23,0,0,0,0,1,1,0,0
4,24,0,0,0,0,1,1,0,0
4,25,0,0,0,0,1,1,0,0
5,26,0,0,1,0,0,0,0,0
5,27,0,0,1,0,0,0,0,0
5,28,0,0,1,0,0,0,0,0
5,29,0,0,1,0,0,0,0,0
6,30,0,0,0,0,0,0,1,0
6,31,0,0,0,0,0,0,1,0
6,32,0,0,0,0,0,0,1,0
6,33,0,0,0,0,0,0,1,0
6,34,0,0,0,0,0,0,1,0
6,35,0,0,0,0,0,0,1,0
7,36,0,0,0,0,0,1,0,1
7,37,0,0,0,0,0,1,0,1
7,38,0,0,0,0,0,1,0,1
7,39,0,0,0,0,0,1,0,1
7,40,0,0,0,0,0,1,0,1
